Rider,Team,GC,TT,Sprint,Climber,Classic,Age,crawl_date
Pieter Weening ,,2754,312,630,1267,756,38,2020-02-06
Dries Devenyns,Deceuninck - Quick Step,1703,676,926,1032,1449,36,2020-02-06
Anthony Delaplace,Team Arkéa Samsic,692,441,907,198,819,30,2020-02-06
Neilson Powless,EF Pro Cycling,449,442,198,290,97,23,2020-02-06
Frederik Backaert,B&B Hotels - Vital Concept p/b KTM,398,10,480,104,498,29,2020-02-06
Rüdiger Selig,BORA - hansgrohe,215,30,1566,28,678,30,2020-02-06
Amanuel Ghebreigzabhier,NTT Pro Cycling,395,150,320,376,216,25,2020-02-06
Pierre Barbier,NIPPO DELKO One Provence,40,0,475,0,219,22,2020-02-06
Artem Ovechkin,Terengganu Inc. TSG Cycling Team,863,1429,160,258,26,33,2020-02-06
Kilian Frankiny,Groupama - FDJ,296,18,2,250,67,26,2020-02-06
Mark Padun,Bahrain - McLaren,208,35,163,298,58,23,2020-02-06
Jan Bárta,Elkov - Kasper,1435,2107,610,220,340,35,2020-02-06
Magnus Cort,EF Pro Cycling,652,68,2101,262,853,27,2020-02-06
Koen Bouwman,Team Jumbo-Visma,245,256,103,163,93,26,2020-02-06
Fabio Felline,Astana Pro Team,1162,1101,1375,1165,1638,29,2020-02-06
Marco Tizza,Amore & Vita - Prodir,103,5,392,208,451,28,2020-02-06
Dimitri Claeys,"Cofidis, Solutions Crédits",403,109,1112,114,980,32,2020-02-06
Julien Duval,AG2R La Mondiale,115,32,710,46,613,29,2020-02-06
Metkel Eyob,Terengganu Inc. TSG Cycling Team,248,21,366,218,121,26,2020-02-06
Aurélien Paret-Peintre,AG2R La Mondiale,136,4,124,102,106,23,2020-02-06
Stanisław Aniołkowski,CCC Development Team,75,42,287,0,0,23,2020-02-06
Jakub Mareczko,CCC Team,252,0,3561,0,200,25,2020-02-06
